"","Station","DBKEY","Daily.Date","Data.Value","Code","Revision.Date"
"1","JBTS",15081,"01-JAN-2013",8.23,NA,"18-JAN-2013"
"2","JBTS",15081,"02-JAN-2013",4.57,NA,"18-JAN-2013"
"3","JBTS",15081,"03-JAN-2013",5.38,NA,"18-JAN-2013"
"4","JBTS",15081,"04-JAN-2013",5.31,NA,"18-JAN-2013"
"5","JBTS",15081,"05-JAN-2013",9.45,NA,"18-JAN-2013"
"6","JBTS",15081,"06-JAN-2013",9.72,NA,"18-JAN-2013"
"7","JBTS",15081,"07-JAN-2013",7.77,NA,"18-JAN-2013"
"8","JBTS",15081,"08-JAN-2013",11.59,NA,"18-JAN-2013"
"9","JBTS",15081,"09-JAN-2013",16.48,NA,"18-JAN-2013"
"10","JBTS",15081,"10-JAN-2013",16.46,NA,"18-JAN-2013"
"11","JBTS",15081,"11-JAN-2013",15.02,NA,"11-FEB-2013"
"12","JBTS",15081,"12-JAN-2013",11.55,NA,"11-FEB-2013"
"13","JBTS",15081,"13-JAN-2013",12.39,NA,"11-FEB-2013"
"14","JBTS",15081,"14-JAN-2013",10.73,NA,"11-FEB-2013"
"15","JBTS",15081,"15-JAN-2013",10.02,NA,"11-FEB-2013"
"16","JBTS",15081,"16-JAN-2013",7.96,NA,"11-FEB-2013"
"17","JBTS",15081,"17-JAN-2013",9.97,NA,"11-FEB-2013"
"18","JBTS",15081,"18-JAN-2013",9.87,NA,"11-FEB-2013"
"19","JBTS",15081,"19-JAN-2013",6.69,NA,"11-FEB-2013"
"20","JBTS",15081,"20-JAN-2013",5.43,NA,"11-FEB-2013"
"21","JBTS",15081,"21-JAN-2013",9.21,NA,"11-FEB-2013"
"22","JBTS",15081,"22-JAN-2013",12.2,NA,"11-FEB-2013"
"23","JBTS",15081,"23-JAN-2013",11.57,NA,"11-FEB-2013"
"24","JBTS",15081,"24-JAN-2013",10.1,NA,"11-FEB-2013"
"25","JBTS",15081,"25-JAN-2013",9.81,NA,"11-FEB-2013"
"26","JBTS",15081,"26-JAN-2013",10.19,NA,"11-FEB-2013"
"27","JBTS",15081,"27-JAN-2013",12.48,NA,"11-FEB-2013"
"28","JBTS",15081,"28-JAN-2013",14.06,NA,"11-FEB-2013"
"29","JBTS",15081,"29-JAN-2013",12.9,NA,"11-FEB-2013"
"30","JBTS",15081,"30-JAN-2013",12.01,NA,"11-FEB-2013"
"31","JBTS",15081,"31-JAN-2013",10.38,NA,"11-FEB-2013"
"32","JBTS",15081,"01-FEB-2013",15.06,NA,"11-FEB-2013"
"33","JBTS",15081,"02-FEB-2013",10.53,NA,"11-FEB-2013"
"34"," ",NA,"",NA,NA,""
